File hash,Reported family,Source,Report date,Report URL,IOC URL (If any)
eb30a1822bd6f503f8151cb04bfd315a62fa67dbfe1f573e6fcfd74636ecedd5,acidbox,Palo Alto Networks,6/17/2020,https://unit42.paloaltonetworks.com/acidbox-rare-malware/,
3ef071e0327e7014dd374d96bed023e6c434df6f98cce88a1e7335a667f6749d,acidbox,Palo Alto Networks,6/17/2020,https://unit42.paloaltonetworks.com/acidbox-rare-malware/,
003669761229d3e1db0f5a5b333ef62b3dffcc8e27c821ce9018362e0a2df7e9,acidbox,Palo Alto Networks,6/17/2020,https://unit42.paloaltonetworks.com/acidbox-rare-malware/,
b3166c417d49e94f3d9eab9b1e8ab853b58ba59f734f774b5de75ee631a9b66d,acidbox,Palo Alto Networks,6/17/2020,https://unit42.paloaltonetworks.com/acidbox-rare-malware/,
3ad20ca49a979e5ea4a5e154962e7caff17e4ca4f00bec7f3ab89275fcc8f58c,acidbox,Palo Alto Networks,6/17/2020,https://unit42.paloaltonetworks.com/acidbox-rare-malware/,
0b2a794bac4bf650b6ba537137504162520b67266449be979679afbb14e8e5c0,artradownloader,Palo Alto Networks,2/25/2019,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,https://github.com/pan-unit42/iocs/blob/master/ArtraDownloader/AtraDownloader.csv
169f68ba605ae82cdfe11a293fe3ffd59b97e05e301096188e241ca6af3cef2c,artradownloader,Palo Alto Networks,2/25/2019,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,https://github.com/pan-unit42/iocs/blob/master/ArtraDownloader/AtraDownloader.csv
ba8f68f1a9c886e66d761beca8f85257e68d1276c59256fbfe8a978c752062c6,artradownloader,Palo Alto Networks,2/25/2019,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,https://github.com/pan-unit42/iocs/blob/master/ArtraDownloader/AtraDownloader.csv
ca512880541c5606837df15712ee7f33756746143a686bedd3031264f8782efb,artradownloader,Palo Alto Networks,2/25/2019,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,https://github.com/pan-unit42/iocs/blob/master/ArtraDownloader/AtraDownloader.csv
bfb1c51d6bdbff5c1d475662bbf12c80e834b395d9ab70b3d124a09543fb20cf,artradownloader,Palo Alto Networks,2/25/2019,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,https://github.com/pan-unit42/iocs/blob/master/ArtraDownloader/AtraDownloader.csv
